player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,salary,salary_million,value_index,salary_per_point,pts_per_minute,efficiency_index,efficiency_per_million
precious achiuwa,C,23,TOR,55,12,20.7,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2,2840160.0,2.84016,5.668694721424145,5612.964415784656,0.44444442297369935,16.099999999999998,5.668694721424145
steven adams,C,29,MEM,42,42,27.0,3.7,6.3,0.597,0.0,0.0,0.0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,17926829.0,17.926829,1.249523828224166,49631.3093864028,0.31851850672153675,22.500000000000004,1.255102059600167
bam adebayo,C,25,MIA,75,75,34.6,8.0,14.9,0.54,0.0,0.2,0.083,8.0,14.7,0.545,0.541,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,30351780.0,30.35178,1.0806614966239212,19837.76469291649,0.589595358682215,32.3,1.064187998199776
ochai agbaji,SG,22,UTA,59,22,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,3918360.0,3.91836,2.832817811533397,8406.693824486818,0.38536583486020315,11.000000000000002,2.8072969303484117
nickeil alexander-walker,SG,24,TOT,59,3,15.0,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1.0,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,5009633.0,5.009633,1.9362695830213512,13695.005430030056,0.41333330577777966,9.700000000000001,1.9362695830213512
nickeil alexander-walker,SG,24,UTA,36,3,14.7,2.3,4.7,0.488,1.0,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,5009633.0,5.009633,1.996154209300362,22088.328826771038,0.42857139941691164,9.799999999999999,1.9562311251143545
nickeil alexander-walker,SG,24,MIN,23,0,15.5,2.1,5.4,0.384,1.1,3.1,0.361,1.0,2.3,0.415,0.488,0.6,0.9,0.619,0.3,1.5,1.8,1.4,0.3,0.3,0.4,1.3,5.9,5009633.0,5.009633,1.8165003304633294,36916.97098808422,0.3806451367325719,9.3,1.8564234146493368
grayson allen,SG,27,MIL,72,70,27.4,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4,8925000.0,8.925,1.7927170868347337,11919.07049690295,0.37956202994299165,16.099999999999998,1.8039215686274506
jarrett allen,C,24,CLE,68,68,32.6,5.9,9.2,0.644,0.0,0.1,0.1,5.9,9.1,0.653,0.645,2.4,3.3,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3,20000000.0,20.0,1.29,20567.667605339706,0.4386502932929358,26.400000000000002,1.32
jose alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,0.411,1.4,4.0,0.336,1.9,4.0,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,1563518.0,1.563518,9.146041171256105,2847.9380640292566,0.4186046316928078,14.299999999999999,9.146041171256103
kyle anderson,PF,29,MIN,69,46,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3.0,5.7,0.536,0.553,1.4,2.0,0.735,1.0,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,8780488.0,8.780488,2.232222172617285,13537.600965868638,0.33098590383852455,20.1,2.2891666157962978
giannis antetokounmpo,PF,28,MIL,63,63,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,42492492.0,42.492492,1.14373146201922,21687.588413368245,0.9688473218427627,46.300000000000004,1.0896042529113144
thanasis antetokounmpo,PF,30,MIL,37,0,5.6,0.5,1.2,0.435,0.0,0.2,0.0,0.5,1.0,0.526,0.435,0.3,0.6,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4,1878720.0,1.87872,1.5968318855390902,36268.72516855743,0.24999995535715083,2.9,1.5436041560211207
cole anthony,PG,22,ORL,60,4,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,0.516,2.5,2.8,0.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0,3613680.0,3.61368,6.004958933829227,4632.923070983432,0.5019304825509466,21.3,5.894268446569702
og anunoby,SF,25,TOR,67,67,35.6,6.3,13.2,0.476,2.1,5.5,0.387,4.2,7.7,0.539,0.556,2.1,2.5,0.838,1.4,3.5,5.0,2.0,1.9,0.7,2.0,3.0,16.8,17357143.0,17.357143,1.3711934043523177,15420.347356591728,0.47191009910364895,24.4,1.4057613053023759
ryan arcidiacono,PG,28,TOT,20,4,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0.351,0.0,0.0,,0.0,0.8,0.8,1.2,0.3,0.0,0.4,0.9,1.3,1836090.0,1.83609,1.7972975180955182,70618.84343773678,0.1511627731206078,3.1999999999999997,1.7428339569411084
ryan arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,0.2,0.1,0.3,0.333,0.0,0.2,0.0,0.3,0.0,0.0,,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3,1836090.0,1.83609,0.49017205038968675,556390.7404876545,0.12499994791668836,0.9999999999999999,0.5446356115440963
ryan arcidiacono,PG,28,POR,9,4,16.2,0.9,3.6,0.25,0.8,2.2,0.35,0.1,1.3,0.083,0.359,0.0,0.0,,0.0,1.2,1.2,2.3,0.3,0.0,0.7,1.6,2.6,1836090.0,1.83609,3.322277230418988,78465.38126216318,0.16049381725346806,5.699999999999999,3.104422985801349
